"_type","additionalrooms","age","amenitiesavailable","amenitiesnot","area","balconies","bathroom","bhk","carpetarea","facing","floor","locality","neworold","opensides","overlooking","ownership","possesiondate","price","pricepersquare","projectname","roadfaceing","status","totalfloor"
"dict","","","Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom","Lift Available,Sports Facility,Landscaped Gardens","482 sq ft","","1","1 BHK Apartment ","356 sq ft","","3, ","Wagholi","New","","","Freehold","Dec 2019","1808946","₹ 3,753/ sq ft ","VTP Purvanchal","","Under Construction","14"
"dict","","5 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,BED","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","4,600 sq ft","4","4","4 BHK Apartment ","","East","8, ","Hadapsar","Resale","","Pool View, Garden View","Freehold","","51000000","₹ 11,086/ sq ft ","Panchshil One North","","Ready to move,Semi-Furnished","21"
"dict","1 rooms( servant room )","9 - 10 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Maintenance Staff,Rain Water Harvesting,Landscaped Gardens,AC,Refrigerator,Sofa,Dining Table,BED","Wardrobe,TV,Wifi,Gas connection","2,000 sq ft","2","3","3 BHK Apartment ","","East","12, ","Koregaon Park","Resale","","Garden View","Freehold","","17000000","₹ 8,500/ sq ft ","Builder ganga cornation","","Ready to move,Furnished","13"
"dict","1 rooms( pooja room )","5 - 6 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Cafeteria,Rain Water Harvesting,Shopping Mall,School,ATM,Wardrobe,BED","Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","1,030 sq ft","3","2","2 BHK Apartment ","710 sq ft","West","7, ","Koregaon Park","Resale","","Garden View","Freehold","","8500000","₹ 8,252/ sq ft ","Builder Ganga Orchard ","","Ready to move,Semi-Furnished","7"
"dict","","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Multipurpose Room,Landscaped Gardens","Sports Facility","1,544 sq ft","","3","3 BHK Apartment ","978 sq ft","","","Hinjewadi","New","","","","Dec 2019","8000000","₹ 5,181/ sq ft ","Kolte Patil Life Republic Sector R1 1st Avenue","","Under Construction",""
"dict","2 rooms( servant room, pooja room )","0 - 1 year","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Intercom,Golf Course,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,ATM,AC,Gas connection","Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED","3,974 sq ft","2","6","4 BHK Apartment ","3106 sq ft","NorthEast","","Gahunje","New","2","Corner, Garden View, Pool View, Road View","Freehold","","60000000","₹ 15,098/ sq ft ","Lodha Belmondo","65 feet","Ready to move","28"
"dict","1 rooms( pooja room )","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track","1,638 sq ft","2","3","3 BHK Apartment ","1214 sq ft","West","8, ","Baner","New","4","Garden View","Freehold","Dec 2022","12400000","₹ 7,570/ sq ft ","Builder Luxurious Apartment","","Under Construction","11"
"dict","","10 - 11 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Swimming Pool,Jogging Track,Maintenance Staff,Landscaped Gardens,Wardrobe,BED","Club House,Gymnasium,Sports Facility,AC,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","600 sq ft","1","1","1 BHK Independent Floor ","550 sq ft","East","1, ","Wanowrie","Resale","","","Freehold","","4000000","₹ 6,666/ sq ft ","BramhaCorp Aangan","","Ready to move,Semi-Furnished","7"
"dict","","15 - 16 years","Lift Available,Car Parking,24 X 7 Security,Children's play area,Vaastu Compliant,Wardrobe,BED","Power Backup,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","725 sq ft","","1","2 BHK Apartment ","675 sq ft","West","5, ","Katraj","Resale","","","Freehold","","3800000","₹ 5,241/ sq ft ","","","Ready to move,Semi-Furnished","6"
"dict","1 rooms( pooja room )","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track","1,015 sq ft","1","2","2 BHK Apartment ","757 sq ft","West","7, ","Balewadi","New","4","Garden View","Freehold","Dec 2018","7000000","₹ 6,896/ sq ft ","Builder Luxurious Apartment","","Under Construction","12"
"dict","","10 - 11 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Jogging Track,Rain Water Harvesting","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","585 sq ft","1","2","1 BHK Independent Floor ","535 sq ft","East","5, ","Hadapsar","Resale","","","Freehold","","3300000","₹ 5,641/ sq ft ","Panchratna Panchratna Apartment","","Ready to move,Unfurnished","6"
"dict","1 rooms( pooja room )","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track","1,267 sq ft","2","2","2 BHK Apartment ","937 sq ft","West","7, ","Hinjewadi","New","4","Garden View","Freehold","Dec 2020","8300000","₹ 6,550/ sq ft ","Builder Luxurious Apartment","","Under Construction","12"
"dict","","3 - 4 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Sports Facility","980 sq ft","2","2","2 BHK Apartment ","755 sq ft","East","4, ","Baner","Resale","1","Pool View, Garden View","Freehold","","6700000","₹ 6,836/ sq ft ","Shah Bafna Associates Costa Blanca","50 feet","Ready to move,Semi-Furnished","9"
"dict","","5 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Jogging Track,Maintenance Staff,Rain Water Harvesting,Landscaped Gardens","Swimming Pool,Sports Facility","1,145 sq ft","1","2","2 BHK Apartment ","","East","5, ","Balewadi","Resale","","Road View","Freehold","","8200000","₹ 7,161/ sq ft ","","","Ready to move,Unfurnished","11"
"dict","1 rooms( study room )","12 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Wardrobe,Washing Machine,Dining Table,Gas connection,BED","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,TV,Refrigerator,Sofa,Wifi","728 sq ft","2","2","2 BHK Apartment ","","North","3, ","Karve Nagar","Resale","","Road View","Freehold","","6800000","₹ 9,340/ sq ft ","","","Ready to move,Semi-Furnished","4"
"dict","","3 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Golf Course,Cafeteria,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","","1,360 sq ft","2","2","2 BHK Apartment ","","West","21, ","Hinjewadi","Resale","","","","","8500000","₹ 6,250/ sq ft ","Paranjape Blue Ridge","","Ready to move,Unfurnished","26"
"dict","","10 years","Lift Available,Car Parking,24 X 7 Security,Children's play area,Vaastu Compliant","Power Backup,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","350 sq ft","","1","1 RK Apartment ","300 sq ft","","1, ","Bibwewadi","Resale","","","Freehold","","2300000","₹ 6,571/ sq ft ","","","Ready to move,Unfurnished","2"
"dict","","5 - 6 years","Car Parking,Power Backup,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Landscaped Gardens","Lift Available,24 X 7 Security,Jogging Track","1,478 sq ft","2","3","3 BHK Independent Floor ","1428 sq ft","East","5, ","Kondhwa","Resale","","","Freehold","","7300000","₹ 4,939/ sq ft ","Alcon Golok Vrindavan","","Ready to move,Unfurnished","11"
"dict","","10 - 11 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track","Sports Facility,Landscaped Gardens","1,382 sq ft","3","3","3 BHK Apartment ","1109 sq ft","","3, ","NIBM Annex Mohammadwadi","Resale","","","Freehold","","6500000","₹ 4,703/ sq ft ","Mittal Life Park","","Ready to move,Unfurnished","9"
"dict","","10 - 11 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Wardrobe,BED","Sports Facility,Landscaped Gardens,AC,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","1,357 sq ft","1","3","3 BHK Apartment ","1307 sq ft","East","8, ","Kondhwa","Resale","","","Freehold","","8000000","₹ 5,895/ sq ft ","Gagan Avenue","","Ready to move,Semi-Furnished","9"
"dict","1 rooms( pooja room )","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track","1,206 sq ft","1","2","2 BHK Apartment ","892 sq ft","West","6, ","Baner","New","4","Garden View","Freehold","Mar 2018","8700000","₹ 7,213/ sq ft ","Builder Luxurious Apartment","","Under Construction","11"
"dict","1 rooms( pooja room )","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track","1,010 sq ft","1","2","2 BHK Apartment ","747 sq ft","East","7, ","Balewadi","New","4","Garden View","Freehold","Dec 2019","7000000","₹ 6,930/ sq ft ","Builder Luxurious Apartment","","Under Construction","12"
"dict","1 rooms( pooja room )","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track","1,400 sq ft","2","3","3 BHK Apartment ","1036 sq ft","East","6, ","Wakad","New","4","Garden View","Freehold","Dec 2019","10000000","₹ 7,142/ sq ft ","Builder Luxurious Apartment","","Under Construction","12"
"dict","","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Golf Course,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,AC","Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","2,460 sq ft","4","4","4 BHK Apartment ","","East","7, ","Wakad","New","4","Garden View","Freehold","Dec 2018","20000000","₹ 8,130/ sq ft ","Kasturi Epitome","","Under Construction","17"
"dict","1 rooms( pooja room )","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track","1,050 sq ft","1","2","2 BHK Apartment ","777 sq ft","East","7, ","Bavdhan","New","4","Garden View","Freehold","Mar 2018","7000000","₹ 6,666/ sq ft ","Builder Luxurious Apartment","","Under Construction","12"
"dict","2 rooms( servant room, pooja room )","","AC","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","3,200 sq ft","2","4","4 BHK Apartment ","2368 sq ft","East","5, ","Baner","New","4","Garden View","Freehold","Nov 2019","44400000","₹ 13,875/ sq ft ","Builder Luxurious Apartment","","Under Construction","12"
"dict","","0 - 1 year","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Multipurpose Room","Children's play area,Sports Facility,Landscaped Gardens","1,050 sq ft","1","2","2 BHK Apartment ","","East","2, ","Hadapsar","New","3","","","","6000000","₹ 5,714/ sq ft ","Dreams Onella","30 feet","Ready to move","12"
"dict","","2 - 3 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","1,185 sq ft","","2","2 BHK Apartment ","","East","3, ","Wagholi","New","2","Corner, Garden View, Pool View, Road View","Freehold","","4700000","₹ 3,966/ sq ft ","Kolte Patil IVY Apartments","40 feet","Ready to move","11"
"dict","","5 - 6 years","Lift Available,Car Parking,Power Backup,24 X 7 Security","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,020 sq ft","2","2","2 BHK Apartment ","","East","2, ","Kothrud","Resale","","","Freehold","","12500000","₹ 12,254/ sq ft ","","","Ready to move,Unfurnished","6"
"dict","","","Rain Water Harvesting,Shopping Mall,School,Hospital,ATM","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","3,300 sq ft","",""," Residential Plot ","","","","Viman Nagar","Resale","","","","","12000000","₹ 3,636/ sq ft ","","","Unfurnished",""
"dict","","10 - 11 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Wardrobe","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","1,550 sq ft","1","3","3 BHK Apartment ","","East","4","Baner Pashan Link Road","Resale","","","Freehold","","13000000","₹ 8,387/ sq ft ","","","Ready to move,Unfurnished",""
"dict","","","Lift Available,Car Parking","Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,050 sq ft","2","2","2 BHK Apartment ","","East","1, ","NIBM","New","3","","Freehold","Apr 2018","6200000","₹ 5,904/ sq ft ","Builder spiro vista","30 feet","Under Construction","4"
"dict","","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Cafeteria,Rain Water Harvesting,Landscaped Gardens","Sports Facility","1,206 sq ft","","2","2 BHK Apartment ","894 sq ft","East","7, ","Baner","New","4","Garden View","Freehold","Mar 2018","8600000","₹ 7,131/ sq ft ","Kolte Patil 24K Sereno","","Under Construction","12"
"dict","","14 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter","Children's play area,Sports Facility,Landscaped Gardens","585 sq ft","","1","1 BHK Apartment ","","East","2, ","Pimple Saudagar","Resale","2","","Co-Operative Society","","3750000","₹ 6,410/ sq ft ","Raviraj Plannet Millenium","50 feet","Ready to move,Unfurnished","6"
"dict","","","Lift Available,Car Parking,Power Backup,Children's play area,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Maintenance Staff,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","24 X 7 Security,Club House,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","1,335 sq ft","2","2","2 BHK Apartment ","1068 sq ft","NorthEast","10, ","NIBM","Resale","2","Garden View, Pool View, Road View","Freehold","","7500000","₹ 5,617/ sq ft ","","","Ready to move,Unfurnished","12"
"dict","1 rooms( study room )","","Lift Available,Car Parking,Power Backup,Children's play area,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Maintenance Staff,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","24 X 7 Security,Club House,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","1,250 sq ft","2","3","3 BHK Apartment ","1000 sq ft","East","5, ","NIBM Annex Mohammadwadi","Resale","1","Garden View, Pool View, Road View","Freehold","","6800000","₹ 5,440/ sq ft ","","","Ready to move,Unfurnished","12"
"dict","","","Lift Available,Car Parking,Power Backup,Children's play area,Gymnasium,Swimming Pool,Sports Facility,Maintenance Staff,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","24 X 7 Security,Club House,Jogging Track,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","1,335 sq ft","2","2","2 BHK Apartment ","1068 sq ft","East","5, ","NIBM","Resale","1","Garden View, Pool View, Road View","Freehold","","9200000","₹ 6,891/ sq ft ","","","Ready to move,Unfurnished","19"
