"_type","additionalrooms","age","amenitiesavailable","amenitiesnot","area","balconies","bathroom","bhk","carpetarea","facing","floor","locality","neworold","opensides","overlooking","ownership","possesiondate","price","pricepersquare","projectname","roadfaceing","status","totalfloor"
"dict","","","Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom","Lift Available,Sports Facility,Landscaped Gardens","482 sq ft","","1","1 BHK Apartment ","356 sq ft","","3, ","Wagholi","New","","","Freehold","Dec 2019","1808946","₹ 3,753/ sq ft ","VTP Purvanchal","","Under Construction","14"
"dict","","5 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,BED","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","4,600 sq ft","4","4","4 BHK Apartment ","","East","8, ","Hadapsar","Resale","","Pool View, Garden View","Freehold","","51000000","₹ 11,086/ sq ft ","Panchshil One North","","Ready to move,Semi-Furnished","21"
"dict","1 rooms( servant room )","9 - 10 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Maintenance Staff,Rain Water Harvesting,Landscaped Gardens,AC,Refrigerator,Sofa,Dining Table,BED","Wardrobe,TV,Wifi,Gas connection","2,000 sq ft","2","3","3 BHK Apartment ","","East","12, ","Koregaon Park","Resale","","Garden View","Freehold","","17000000","₹ 8,500/ sq ft ","Builder ganga cornation","","Ready to move,Furnished","13"
"dict","1 rooms( study room )","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Sports Facility","1,425 sq ft","3","3","3 BHK Apartment ","","NorthEast","8, ","Wadgaon Sheri","New","","Pool View","Freehold","Jun 2019","11500000","₹ 8,070/ sq ft ","BramhaCorp F Residences","","Under Construction","13"
"dict","","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Multipurpose Room,Landscaped Gardens","Sports Facility","1,544 sq ft","","3","3 BHK Apartment ","978 sq ft","","","Hinjewadi","New","","","","Dec 2019","8000000","₹ 5,181/ sq ft ","Kolte Patil Life Republic Sector R1 1st Avenue","","Under Construction",""
"dict","2 rooms( servant room, pooja room )","0 - 1 year","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Intercom,Golf Course,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,ATM,AC,Gas connection","Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED","3,974 sq ft","2","6","4 BHK Apartment ","3106 sq ft","NorthEast","","Gahunje","New","2","Corner, Garden View, Pool View, Road View","Freehold","","60000000","₹ 15,098/ sq ft ","Lodha Belmondo","65 feet","Ready to move","28"
"dict","","","Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Jogging Track,Landscaped Gardens,Wifi","Lift Available,Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED","1,085 sq ft","1","2","2 BHK Apartment ","","East","4, ","Moshi","New","2","Corner, Garden View, Pool View, Road View","Freehold","Dec 2020","7000000","₹ 6,451/ sq ft ","Apex Apostrophe","50 feet","Under Construction","6"
"dict","","3 - 4 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,BED","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","1,250 sq ft","2","2","2 BHK Apartment ","1100 sq ft","East","5, ","Ashok Nagar","Resale","2","Road View, Corner","Freehold","","15000000","₹ 12,000/ sq ft ","","30 feet","Ready to move,Semi-Furnished","6"
"dict","","6 - 7 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Children's play area","836 sq ft","","2","2 BHK Apartment ","","East","3, ","Lohegaon","Resale","1","Corner, Garden View, Road View","Freehold","","3900000","₹ 4,665/ sq ft ","Kothari The Village","40 feet","Ready to move,Unfurnished","10"
"dict","1 rooms( study room )","9 years","Car Parking,Power Backup,24 X 7 Security,Wardrobe,BED","Lift Available,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","1,500 sq ft","1","2","2 BHK Apartment ","1100 sq ft","East","2, ","Nigdi","Resale","2","","","","6500000","₹ 4,333/ sq ft ","BG Group Vastu","10 feet","Ready to move,Semi-Furnished","3"
"dict","1 rooms( study room )","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,Shopping Mall,Hospital","Sports Facility","950 sq ft","2","2","2 BHK Apartment ","715 sq ft","West","2, ","Kondhwa","New","2","Corner, Garden View, Pool View, Road View","Freehold","Dec 2020","7100000","₹ 7,473/ sq ft ","","150 feet","Under Construction","15"
"dict","","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Intercom,Cafeteria,Rain Water Harvesting,Landscaped Gardens,ATM","","1,238 sq ft","","2","2 BHK Apartment ","917 sq ft","East","7, ","Hinjewadi","New","3","Corner, Garden View","Freehold","Sep 2021","7500000","₹ 6,058/ sq ft ","Godrej 24","","Under Construction","17"
"dict","","4 - 5 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Sports Facility","1,140 sq ft","2","3","4 BHK Apartment ","880 sq ft","East","3, ","Kalyani Nagar","Resale","","Garden View, Pool View, Road View","Freehold","","15000000","₹ 13,157/ sq ft ","Raviraj Fortaleza","","Ready to move,Unfurnished","11"
"dict","1 rooms( servant room )","19 - 20 years","Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,School,Hospital,ATM,AC,Wardrobe,TV,Refrigerator,Sofa,Washing Machine,Wifi,Microwave,Dining Table,BED","Lift Available,Club House,Gymnasium,Swimming Pool,Sports Facility,Gas connection","3,150 sq ft","2","5","4 BHK Villa ","2205 sq ft","East","","Koregaon Park","Resale","1","","","","36500000","₹ 11,587/ sq ft ","","","Ready to move,Furnished","2"
"dict","","6 - 7 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,Wardrobe,Gas connection,BED","Sports Facility,AC,TV,Refrigerator,Sofa,Wifi,Dining Table","1,600 sq ft","","3","3 BHK Apartment ","","SouthWest","8, ","Kharadi","Resale","3","Road View","Freehold","","9200000","₹ 5,750/ sq ft ","Geras Emerald City","60 feet","Ready to move,Semi-Furnished","8"
"dict","1 rooms( servant room )","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,AC","Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","3,800 sq ft","2","5","4 BHK Apartment ","","East","8, ","Aundh","New","4","Garden View","Freehold","Dec 2018","40000000","₹ 10,526/ sq ft ","Naiknavare Pride The Spires","","Under Construction","19"
"dict","1 rooms( pooja room )","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track","1,400 sq ft","2","3","3 BHK Apartment ","1036 sq ft","East","8, ","Baner","New","4","Garden View","Freehold","Mar 2018","10000000","₹ 7,142/ sq ft ","Builder Luxurious Apartment","","Under Construction","12"
"dict","1 rooms( pooja room )","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track","1,668 sq ft","2","3","3 BHK Apartment ","1234 sq ft","East","8, ","Baner","New","4","Garden View","Freehold","Dec 2018","12000000","₹ 7,194/ sq ft ","Builder Luxurious Apartment","","Under Construction","12"
"dict","1 rooms( pooja room )","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track","1,750 sq ft","2","3","3 BHK Apartment ","1295 sq ft","West","7, ","Baner","New","4","Garden View","Freehold","Dec 2019","14000000","₹ 8,000/ sq ft ","Builder Luxurious Apartment","","Under Construction","12"
"dict","2 rooms( servant room, pooja room )","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens,AC","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","3,010 sq ft","2","4","4 BHK Apartment ","2227 sq ft","East","5, ","Baner","New","4","Garden View","Freehold","Dec 2018","30000000","₹ 9,966/ sq ft ","Builder Luxurious Apartment","","Under Construction","12"
"dict","2 rooms( servant room, pooja room )","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens,AC","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","4,190 sq ft","2","4","4 BHK Apartment ","3100 sq ft","East","9, ","Baner","New","4","Garden View","Freehold","Dec 2018","50000000","₹ 11,933/ sq ft ","Builder Luxurious Apartment","","Under Construction","12"
"dict","1 rooms( pooja room )","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track","1,010 sq ft","1","2","2 BHK Apartment ","747 sq ft","East","7, ","Balewadi","New","4","Garden View","Freehold","Dec 2019","7000000","₹ 6,930/ sq ft ","Builder Luxurious Apartment","","Under Construction","12"
"dict","1 rooms( pooja room )","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track","1,100 sq ft","1","2","2 BHK Apartment ","814 sq ft","East","6, ","Balewadi","New","4","Garden View","Freehold","Dec 2018","8000000","₹ 7,272/ sq ft ","Builder Luxurious Apartment","","Under Construction","12"
"dict","1 rooms( pooja room )","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track","1,500 sq ft","2","3","3 BHK Apartment ","1110 sq ft","East","7, ","Balewadi","New","4","Garden View","Freehold","Mar 2018","10000000","₹ 6,666/ sq ft ","Builder Luxurious Apartment","","Under Construction","12"
"dict","1 rooms( pooja room )","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track","1,660 sq ft","2","3","3 BHK Apartment ","1228 sq ft","East","5, ","Balewadi","New","4","Garden View","Freehold","Dec 2018","12000000","₹ 7,228/ sq ft ","Builder Luxurious Apartment","","Under Construction","12"
"dict","1 rooms( pooja room )","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens,AC","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","2,413 sq ft","2","4","4 BHK Apartment ","1784 sq ft","East","5, ","Balewadi","New","4","Garden View","Freehold","Dec 2018","20000000","₹ 8,288/ sq ft ","Builder Luxurious Apartment","","Under Construction","12"
"dict","1 rooms( pooja room )","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens,AC","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","2,003 sq ft","2","3","3 BHK Apartment ","1482 sq ft","East","5, ","Pimple Nilakh","New","4","Garden View","Freehold","Dec 2019","15000000","₹ 7,488/ sq ft ","Builder Luxurious Apartment","","Under Construction","12"
"dict","2 rooms( servant room, pooja room )","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens,AC","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","2,367 sq ft","2","4","4 BHK Apartment ","1751 sq ft","East","8, ","Pimple Nilakh","New","4","Garden View","Freehold","Dec 2018","18000000","₹ 7,604/ sq ft ","Kolte Patil 24K Opula","","Under Construction","19"
"dict","","4 - 5 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Shopping Mall,School","Sports Facility,Landscaped Gardens","1,558 sq ft","1","3","3 BHK Apartment ","","","","Aundh","Resale","","","","","16500000","₹ 10,590/ sq ft ","Pride Aloma County","","Ready to move,Unfurnished",""
"dict","1 rooms( servant room )","6 - 7 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Sports Facility","1,750 sq ft","1","3","3 BHK Apartment ","","","","Kalyani Nagar","Resale","","","","","17500000","₹ 10,000/ sq ft ","Raviraj Fortaleza","","Ready to move,Unfurnished",""
"dict","1 rooms( pooja room )","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track","990 sq ft","1","2","2 BHK Apartment ","","East","7, ","Baner Pashan Link Road","New","4","Garden View","Freehold","Dec 2020","8300000","₹ 8,383/ sq ft ","Builder Luxurious Apartment","","Under Construction","12"
"dict","1 rooms( pooja room )","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track","1,055 sq ft","1","2","2 BHK Apartment ","780 sq ft","East","8, ","Bavdhan","New","4","Garden View","Freehold","Dec 2019","7657000","₹ 7,257/ sq ft ","Builder Luxurious Apartment","","Under Construction","12"
"dict","1 rooms( pooja room )","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track","1,010 sq ft","1","2","2 BHK Apartment ","","East","5, ","Baner","New","4","Garden View","Freehold","Dec 2018","7000000","₹ 6,930/ sq ft ","Builder Luxurious Apartment","","Under Construction","12"
"dict","1 rooms( pooja room )","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Golf Course,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","","1,535 sq ft","2","3","3 BHK Apartment ","","East","4, ","Baner","New","4","Garden View","Freehold","Dec 2018","12000000","₹ 7,817/ sq ft ","Builder Luxurious Apartment","","Under Construction","12"
"dict","2 rooms( servant room, pooja room )","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Maintenance Staff,Intercom,Golf Course,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,AC","Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","4,041 sq ft","2","4","4 BHK Apartment ","","East","5, ","Baner","New","4","Garden View","Freehold","Dec 2018","40000000","₹ 9,898/ sq ft ","Builder Luxurious Apartment","","Under Construction","12"
