"_type","additionalrooms","age","amenitiesavailable","amenitiesnot","area","balconies","bathroom","bhk","carpetarea","facing","floor","locality","neworold","opensides","overlooking","ownership","possesiondate","price","pricepersquare","projectname","roadfaceing","status","totalfloor"
"dict","","","Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom","Lift Available,Sports Facility,Landscaped Gardens","482 sq ft","","1","1 BHK Apartment ","356 sq ft","","3, ","Wagholi","New","","","Freehold","Dec 2019","1808946","₹ 3,753/ sq ft ","VTP Purvanchal","","Under Construction","14"
"dict","1 rooms( servant room )","5 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,BED","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","4,800 sq ft","4","4","4 BHK Apartment ","","East","7, ","Hadapsar","Resale","","Pool View, Garden View","Freehold","","28000000","₹ 5,833/ sq ft ","Marvel Bounty","","Ready to move,Semi-Furnished","11"
"dict","1 rooms( servant room )","9 - 10 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Rain Water Harvesting,Landscaped Gardens,Wardrobe,TV,Refrigerator,Sofa,Dining Table","AC,Wifi,Gas connection,BED","1,815 sq ft","2","3","3 BHK Apartment ","","East","7, ","Mundhwa","Resale","","Garden View","Freehold","","20000000","₹ 11,019/ sq ft ","Marvel Matrix","","Ready to move,Furnished","10"
"dict","","10 - 11 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Cafeteria,Rain Water Harvesting,Staff Quarter,Landscaped Gardens","Sports Facility","1,650 sq ft","2","3","3 BHK Apartment ","1250 sq ft","East","8, ","Wadgaon Sheri","Resale","","Garden View","Freehold","","12500000","₹ 7,575/ sq ft ","BramhaCorp Suncity","","Ready to move,Unfurnished","9"
"dict","","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Multipurpose Room,Landscaped Gardens","Sports Facility","1,544 sq ft","","3","3 BHK Apartment ","978 sq ft","","","Hinjewadi","New","","","","Dec 2019","8000000","₹ 5,181/ sq ft ","Kolte Patil Life Republic Sector R1 1st Avenue","","Under Construction",""
"dict","2 rooms( servant room, pooja room )","0 - 1 year","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Intercom,Golf Course,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,ATM,AC,Gas connection","Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED","3,974 sq ft","2","6","4 BHK Apartment ","3106 sq ft","NorthEast","","Gahunje","New","2","Corner, Garden View, Pool View, Road View","Freehold","","60000000","₹ 15,098/ sq ft ","Lodha Belmondo","65 feet","Ready to move","28"
"dict","","2 - 3 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens","Sports Facility","1,426 sq ft","3","3","3 BHK Apartment ","1070 sq ft","East","6, ","Manjari","New","1","Corner, Garden View, Pool View, Road View","Freehold","","6600000","₹ 4,628/ sq ft ","Kalpataru Serenity","20 feet","Ready to move","12"
"dict","","1 - 2 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,ATM,Gas connection","Sports Facility,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED","1,050 sq ft","1","2","2 BHK Apartment ","777 sq ft","East","5, ","Baner","Resale","2","Road View","Freehold","","6700000","₹ 6,380/ sq ft ","Puraniks Aldea Anexo","40 feet","Ready to move,Unfurnished","12"
"dict","2 rooms( servant room, pooja room )","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens,AC","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","4,000 sq ft","2","4","4 BHK Apartment ","2960 sq ft","East","7, ","Baner","New","4","Garden View","Freehold","Dec 2018","50000000","₹ 12,500/ sq ft ","Builder Luxurious Apartment","","Under Construction","12"
"dict","2 rooms( servant room, pooja room )","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens,AC","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","2,836 sq ft","3","4","4 BHK Apartment ","2100 sq ft","West","7, ","Pimple Nilakh","New","4","Garden View","Freehold","Dec 2018","20000000","₹ 7,052/ sq ft ","Kolte Patil 24K Opula","","Under Construction","12"
