"_type","additionalrooms","age","amenitiesavailable","amenitiesnot","area","balconies","bathroom","bhk","carpetarea","facing","floor","locality","neworold","opensides","overlooking","ownership","possesiondate","price","pricepersquare","projectname","roadfaceing","status","totalfloor"
"dict","3 rooms( study room, servant room, pooja room )","0 - 1 year","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Rain Water Harvesting,AC,Gas connection","Club House,Landscaped Gardens,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED","4,300 sq ft","2","4","4 BHK Apartment ","3000 sq ft","East","10, ","Kothrud","New","3","Garden View, Pool View, Road View","Co-Operative Society","","65300000","₹ 15,186/ sq ft ","Sangam Solitaire","60 feet","Ready to move","14"
"dict","","10 - 11 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Wardrobe,Refrigerator,Sofa,Washing Machine,Dining Table,Gas connection,BED","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,Landscaped Gardens,AC,TV,Wifi","1,300 sq ft","2","2","2 BHK Apartment ","","East","7, ","Kalyani Nagar","Resale","","Garden View, Pool View, Road View","Freehold","","16000000","₹ 12,307/ sq ft ","","","Ready to move,Furnished","10"
"dict","","4 - 5 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,BED","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","4,600 sq ft","2","5","4 BHK Apartment ","","East","3, ","Hadapsar","Resale","","Pool View, Garden View","Freehold","","37000000","₹ 8,043/ sq ft ","Panchshil One North","","Ready to move,Unfurnished","21"
"dict","","19 - 20 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,AC,Wardrobe,TV,Refrigerator,Sofa,Washing Machine,Wifi,Dining Table,Gas connection,BED","Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","959 sq ft","2","2","2 BHK Apartment ","","East","1, ","Boat Club Road","Resale","1","Road View, Garden View","Freehold","","15000000","₹ 15,641/ sq ft ","","","Ready to move,Furnished","3"
"dict","","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Multipurpose Room,Landscaped Gardens","Sports Facility","1,544 sq ft","","3","3 BHK Apartment ","978 sq ft","","","Hinjewadi","New","","","","Dec 2019","8000000","₹ 5,181/ sq ft ","Kolte Patil Life Republic Sector R1 1st Avenue","","Under Construction",""
"dict","1 rooms( study room )","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Sports Facility","1,425 sq ft","3","3","3 BHK Apartment ","","NorthEast","8, ","Wadgaon Sheri","New","","Pool View","Freehold","Jun 2019","11500000","₹ 8,070/ sq ft ","BramhaCorp F Residences","","Under Construction","13"
"dict","2 rooms( servant room, pooja room )","0 - 1 year","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Intercom,Golf Course,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,ATM,AC,Gas connection","Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED","3,974 sq ft","2","6","4 BHK Apartment ","3106 sq ft","NorthEast","","Gahunje","New","2","Corner, Garden View, Pool View, Road View","Freehold","","60000000","₹ 15,098/ sq ft ","Lodha Belmondo","65 feet","Ready to move","28"
"dict","","0 - 1 year","Lift Available,Car Parking,Power Backup,24 X 7 Security","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,600 sq ft","1","2","3 BHK Apartment ","1400 sq ft","North","2, ","Ashok Nagar","New","2","Corner, Garden View, Road View","Freehold","","25000000","₹ 15,625/ sq ft ","","40 feet","Ready to move","6"
"dict","","6 - 7 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Children's play area","836 sq ft","","2","2 BHK Apartment ","","East","3, ","Lohegaon","Resale","1","Corner, Garden View, Road View","Freehold","","3900000","₹ 4,665/ sq ft ","Kothari The Village","40 feet","Ready to move,Unfurnished","10"
"dict","","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Sports Facility","1,140 sq ft","1","2","2 BHK Apartment ","","North","11, ","Wagholi","New","","Corner, Garden View, Road View","Freehold","Jul 2018","5500000","₹ 4,824/ sq ft ","Kolte Patil IVY Apartments","","Under Construction","12"
