"_type","additionalrooms","age","amenitiesavailable","amenitiesnot","area","balconies","bathroom","bhk","carpetarea","facing","floor","locality","neworold","opensides","overlooking","ownership","possesiondate","price","pricepersquare","projectname","roadfaceing","status","totalfloor"
"dict","","2 - 3 years","Lift Available,Car Parking,Power Backup,Indoor Games,Intercom,Landscaped Gardens,Gas connection","24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED","1,611 sq ft","2","3","3 BHK Apartment ","1209 sq ft","West","3, ","Deccan Gymkhana","New","2","Road View","Co-Operative Society","","27000000","₹ 16,759/ sq ft ","Bhansali Prive Rio","40 feet","Ready to move","6"
"dict","","0 - 1 year","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting","Children's play area,Sports Facility,Landscaped Gardens","1,279 sq ft","","2","2 BHK Apartment ","","NorthEast","1","Kharadi","New","","","Freehold","","7610050","₹ 5,950/ sq ft ","Goel Ganga Platino","","Ready to move",""
"dict","","0 - 1 year","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens","Sports Facility","670 sq ft","","1","1 BHK Apartment ","","NorthEast","1","Sus","New","","","Freehold","","4100000","₹ 6,119/ sq ft ","Vilas Javdekar Yashwin","","Ready to move",""
"dict","","2 - 3 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting","Sports Facility,Landscaped Gardens","956 sq ft","","2","2 BHK Apartment ","615 sq ft","NorthEast","1","Bavdhan","New","","","Freehold","","5736000","₹ 6,000/ sq ft ","Rohan Ishan","","Ready to move",""
"dict","","0 - 1 year","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Gymnasium,Intercom,Rain Water Harvesting,Landscaped Gardens","Club House,Swimming Pool,Sports Facility,Jogging Track","1,706 sq ft","1","3","3 BHK Apartment ","1195 sq ft","West","6, ","Deccan Gymkhana","New","2","Road View","Freehold","","29002000","₹ 17,000/ sq ft ","Swojas Aavishkar","60 feet","Ready to move","9"
"dict","","0 - 1 year","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Indoor Games,Intercom,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens","Swimming Pool,Sports Facility,Jogging Track","1,015 sq ft","2","2","2 BHK Apartment ","","NorthEast","2, ","Mundhwa","New","2","Garden View, Pool View, Road View","Freehold","","4720765","₹ 4,651/ sq ft ","PGD Pinnacle","","Ready to move","10"
"dict","","1 - 2 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens","Sports Facility","3,725 sq ft","","5","4 BHK Apartment ","","NorthEast","1","Viman Nagar","New","","","Freehold","","30172500","₹ 8,100/ sq ft ","Marvel Piazza Phase 01","","Ready to move",""
"dict","","0 - 1 year","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,ATM","Sports Facility,Landscaped Gardens","450 sq ft","","1","1 BHK Apartment ","","NorthEast","1","Baner","New","","","Freehold","","4000000","₹ 8,889/ sq ft ","Puraniks Aldea Anexo","","Ready to move",""
"dict","3 rooms( study room, servant room, pooja room )","1 - 2 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Jogging Track,Intercom,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,Wardrobe,Refrigerator,Sofa,Washing Machine,Dining Table,Gas connection","Children's play area,Gymnasium,Swimming Pool,Sports Facility,AC,TV,Wifi,BED","1,650 sq ft","2","3","3 BHK Apartment ","1150 sq ft","West","4, ","Law collage Road","Resale","2","Corner, Garden View, Road View","Freehold","","24000000","₹ 14,545/ sq ft ","Swojas Gulmohar","25 feet","Ready to move,Unfurnished","6"
"dict","","0 - 1 year","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Indoor Games,Jogging Track,Staff Quarter,Landscaped Gardens","Swimming Pool,Sports Facility","449 sq ft","1","1","1 BHK Apartment ","","NorthEast","1, ","Mahalunge","New","2","Road View, Garden View","Freehold","","2783351","₹ 6,199/ sq ft ","Puraniks Aldea Espanola","","Ready to move","15"
