"_type","additionalrooms","age","amenitiesavailable","amenitiesnot","area","balconies","bathroom","bhk","carpetarea","facing","floor","locality","neworold","opensides","overlooking","ownership","possesiondate","price","pricepersquare","projectname","roadfaceing","status","totalfloor"
"dict","3 rooms( study room, servant room, pooja room )","0 - 1 year","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Rain Water Harvesting,AC,Gas connection","Club House,Landscaped Gardens,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED","4,300 sq ft","2","4","4 BHK Apartment ","3000 sq ft","East","10, ","Kothrud","New","3","Garden View, Pool View, Road View","Co-Operative Society","","65300000","₹ 15,186/ sq ft ","Sangam Solitaire","60 feet","Ready to move","14"
"dict","","6 - 7 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Rain Water Harvesting,Multipurpose Room","Sports Facility,Landscaped Gardens","850 sq ft","","2","2 BHK Apartment ","","East","2","Kharadi","Resale","","","Freehold","","4500000","₹ 5,294/ sq ft ","Gulmohar City","","Ready to move,Unfurnished",""
"dict","","2 - 3 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting","Children's play area,Sports Facility,Landscaped Gardens","880 sq ft","","2","2 BHK Apartment ","","NorthEast","2","Wagholi","Resale","","","Freehold","","4000000","₹ 4,545/ sq ft ","","","Ready to move,Unfurnished",""
"dict","","11 - 12 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Jogging Track","Children's play area,Swimming Pool,Sports Facility,Landscaped Gardens","808 sq ft","","2","2 BHK Apartment ","","East","4","Kharadi","Resale","","","Freehold","","4999904","₹ 6,188/ sq ft ","Gulmohar Paradise Homes","","Ready to move,Unfurnished",""
"dict","","11 - 12 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting","Children's play area,Sports Facility,Landscaped Gardens","1,400 sq ft","","2","2 BHK Apartment ","","NorthEast","3","Kharadi","Resale","","","Freehold","","7200000","₹ 5,142/ sq ft ","Builder Gera Park View I","","Ready to move,Unfurnished",""
"dict","","6 - 7 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting","Children's play area,Sports Facility,Landscaped Gardens","1,600 sq ft","","3","3 BHK Apartment ","","East","3","Kharadi","Resale","","","Freehold","","9000000","₹ 5,625/ sq ft ","Nyati Elysia","","Ready to move,Furnished",""
"dict","","9 - 10 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Sports Facility","3,000 sq ft","","3","3 BHK Apartment ","","South","7, ","Viman Nagar","Resale","","Pool View, Garden View","Freehold","","27500000","₹ 9,166/ sq ft ","Lunkad Lunkad Goldcoast","","Ready to move,Unfurnished","7"
"dict","","6 - 7 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting","Children's play area,Sports Facility,Landscaped Gardens","750 sq ft","","1","1 BHK Apartment ","","","1","Viman Nagar","Resale","","","Freehold","","4000000","₹ 5,333/ sq ft ","","","Ready to move,Unfurnished",""
"dict","1 rooms( study room )","7 - 8 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","","1,085 sq ft","2","2","2 BHK Apartment ","","East","2, ","Kharadi","Resale","","Garden View, Pool View, Road View","Freehold","","7200000","₹ 6,635/ sq ft ","","","Ready to move,Unfurnished","7"
"dict","","","Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Maintenance Staff,Rain Water Harvesting","Lift Available,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","2,800 sq ft","2","4","4 BHK Villa ","","East","","Kalyani Nagar","Resale","","Garden View","Freehold","","45000000","₹ 16,071/ sq ft ","","","Ready to move,Unfurnished","2"
"dict","","","Car Parking","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","900 sq ft","","2","2 BHK Apartment ","725 sq ft","West","1, ","Sinhgad Road","New","3","","","","7500000","₹ 8,333/ sq ft ","","100 feet","Ready to move","3"
"dict","1 rooms( pooja room )","20 - 21 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Cafeteria,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,BED","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","1,250 sq ft","2","2","2 BHK Apartment ","","NorthWest","3, ","Wadgaon Sheri","Resale","","Road View, Garden View","Freehold","","9500000","₹ 7,600/ sq ft ","BramhaCorp Suncity","","Ready to move,Furnished","8"
"dict","3 rooms( study room, servant room, pooja room )","0 - 1 year","Car Parking,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Rain Water Harvesting,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Lift Available,Power Backup,24 X 7 Security","1,200 sq ft","1","2","3 BHK Villa ","1150 sq ft","East","2, ","Ghodegaon","Resale","3","Garden View, Pool View, Road View","Freehold","","1700000","₹ 1,416/ sq ft ","","29 feet","Ready to move,Unfurnished","2"
"dict","","6 - 7 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Sports Facility","1,500 sq ft","","3","3 BHK Apartment ","","East","1, ","Kalyani Nagar","Resale","","","Freehold","","15000000","₹ 10,000/ sq ft ","Raviraj Fortaleza","","Ready to move,Unfurnished","11"
"dict","","3 - 4 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Sports Facility","1,120 sq ft","","2","2 BHK Apartment ","","East","5","Wagholi","New","","","Freehold","","5400000","₹ 4,821/ sq ft ","Karia Konark Exotica","","Ready to move",""
"dict","1 rooms( study room )","0 - 1 year","Car Parking,Children's play area,Shopping Mall,School,Hospital,ATM","Lift Available,Power Backup,24 X 7 Security,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,150 sq ft","1","2","3 BHK Independent House ","950 sq ft","East","","Gahunje","New","3","Corner, Garden View, Road View","Freehold","","3500000","₹ 3,043/ sq ft ","Builder SAHANI ROWHOUSE","20 feet","Ready to move","2"
"dict","1 rooms( study room )","10 - 11 years","","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","3,000 sq ft","2","5","5 BHK Villa ","","East","Gr ","Kharadi","Resale","","Garden View, Pool View, Road View","Freehold","","14000000","₹ 4,666/ sq ft ","","","Ready to move,Unfurnished","2"
"dict","","6 - 7 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter","Children's play area,Sports Facility,Landscaped Gardens","1,200 sq ft","","2","2 BHK Apartment ","","East","2","Kharadi","Resale","","","Freehold","","7200000","₹ 6,000/ sq ft ","A P Akshay Glory","","Ready to move,Semi-Furnished",""
"dict","","10 - 11 years","Wardrobe,Refrigerator,Sofa,Washing Machine,Dining Table,Gas connection,BED","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,TV,Wifi","2,941 sq ft","2","5","4 BHK Villa ","","East","Gr ","Kharadi","Resale","","Garden View, Pool View, Road View","Freehold","","19000000","₹ 6,460/ sq ft ","","","Ready to move,Semi-Furnished","2"
"dict","1 rooms( servant room )","10 - 11 years","","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","5,640 sq ft","3","4","4 BHK Apartment ","","East","10, ","Koregaon Park","Resale","","Garden View, Pool View, Road View","Freehold","","84600000","₹ 15,000/ sq ft ","","","Ready to move,Unfurnished","11"
"dict","1 rooms( servant room )","10 - 11 years","","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,800 sq ft","1","3","3 BHK Villa ","","East","","Koregaon Park","Resale","","Garden View, Pool View, Road View","Freehold","","25000000","₹ 13,888/ sq ft ","","","Ready to move,Unfurnished","2"
"dict","","10 - 11 years","","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","3,000 sq ft","1","3","4 BHK Villa ","","East","Gr ","Koregaon Park","Resale","","Garden View, Pool View, Road View","Freehold","","39000000","₹ 13,000/ sq ft ","","","Ready to move,Unfurnished","2"
"dict","","10 - 11 years","Wardrobe,Refrigerator,Sofa,Washing Machine,Dining Table,Gas connection,BED","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,TV,Wifi","3,000 sq ft","2","5","4 BHK Villa ","","East","Gr ","Koregaon Park","Resale","","Garden View, Pool View, Road View","Freehold","","45000000","₹ 15,000/ sq ft ","","","Ready to move,Semi-Furnished","3"
"dict","","10 - 11 years","Wardrobe,Refrigerator,Sofa,Washing Machine,Dining Table,Gas connection,BED","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,TV,Wifi","4,500 sq ft","2","5","4 BHK Villa ","","East","Gr ","Koregaon Park","Resale","","Garden View, Pool View, Road View","Freehold","","50000000","₹ 11,111/ sq ft ","Ahura Valentina","","Ready to move,Furnished","3"
"dict","1 rooms( study room )","10 - 11 years","","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","3,600 sq ft","2","4","4 BHK Villa ","","East","Gr ","Koregaon Park","Resale","","Garden View, Pool View, Road View","Freehold","","57500000","₹ 15,972/ sq ft ","Ahura Moghul Garden","","Ready to move,Unfurnished","2"
